,0
0,1094726.618196755
1,1100603.6761592515
2,1098988.5207338752
3,1108701.738711534
4,1105620.2703731656
5,1104170.8448656045
6,1106471.6245448748
7,1106543.836935619
8,1101581.3029785207
9,1103181.0966301258
10,1114040.5352147312
11,1112926.5182081629
12,1112926.5182081629
13,1113358.0388520574
14,1113210.4089196667
15,1113210.4089196667
16,1113210.4089196667
17,1113210.4089196667
18,1113210.4089196667
19,1113210.4089196667
20,1113210.4089196667
21,1109248.1744922362
22,1114741.8917508922
23,1110304.9090566698
24,1112833.8785387408
25,1118766.1876551541
26,1118164.979344344
27,1118164.979344344
28,1116475.9835276199
29,1112918.4864618208
30,1106771.2686658434
31,1108290.2321259098
32,1092598.1337154116
33,1092036.5330031135
34,1093476.893829078
35,1096436.5688690757
36,1093919.6562407548
37,1098782.4065586175
38,1096671.5214552921
39,1095473.2449854992
40,1104801.436168944
41,1095200.0140703924
42,1111391.3766060758
43,1120148.0112200223
44,1127360.802662194
45,1147980.5976282451
46,1136876.1440472174
47,1131764.3448553993
48,1127231.2273812958
49,1124037.9137528366
50,1105880.4782699053
51,1116352.6795613524
52,1113105.532816399
53,1113799.7810765523
54,1114957.026019769
55,1098617.5155896656
56,1097000.0822302068
57,1066861.5205347983
58,1081826.3702255848
59,1057180.791161405
60,1068539.3520997912
61,1087865.3409299653
62,1106772.1121407724
