,0
0,1336586.4032458044
1,1337242.9769794024
2,1337041.592990736
3,1337041.592990736
4,1337041.592990736
5,1337041.592990736
6,1337041.592990736
7,1339083.7267615185
8,1337223.637643187
9,1336718.242918807
10,1336718.242918807
11,1336718.242918807
12,1336718.242918807
13,1336718.242918807
14,1336718.242918807
15,1336718.242918807
16,1336718.242918807
17,1336718.242918807
18,1336718.242918807
19,1336718.242918807
20,1336718.242918807
21,1336718.242918807
22,1336718.242918807
23,1336718.242918807
24,1336718.242918807
25,1336718.242918807
26,1336718.242918807
27,1338515.3689256832
28,1338264.2469173914
29,1338264.2469173914
30,1334379.534371493
31,1341895.955299629
32,1346867.092509287
33,1353452.3874889635
34,1367843.7525198723
35,1367105.4430774124
36,1370464.981279097
37,1367202.0789781506
38,1367517.9732466897
39,1375182.708266099
40,1392389.3238600784
41,1369951.7469133164
42,1369870.1566176182
43,1368670.3073638754
44,1357419.598913054
45,1365594.2291146202
46,1372535.436536678
47,1366051.9593029136
48,1354796.3425221448
49,1342294.0260110835
50,1319683.926684936
51,1299182.728717854
52,1286225.0911632509
53,1299400.628278861
54,1312641.7550624912
55,1311329.167114133
56,1311329.167114133
57,1311329.167114133
58,1311329.167114133
59,1311329.167114133
60,1311329.167114133
61,1311329.167114133
62,1311329.167114133
