,0
0,1000000.0
1,1000523.2469816306
2,993335.1755406081
3,996220.3642152137
4,997393.0810523704
5,1003704.0329488246
6,1004030.9381289768
7,1001159.9000163112
8,1008379.7474751053
9,1002656.1917664991
10,992444.3526800628
11,996969.9117676738
12,989457.5202063291
13,976931.5076459141
14,976101.869289762
15,960615.804030645
16,961720.1365998451
17,980681.2317358914
18,993150.2732907999
19,1001511.0803627025
20,1010165.403026361
21,1011412.5606110988
22,1011983.5934254397
23,1011497.4216642062
24,1014445.958631871
25,1014354.3543691196
26,1013969.0834109319
27,1024906.0256754734
28,1025244.2178840276
29,1034620.7178459128
30,1032001.0683029087
31,1030249.9522265197
32,1021831.749162577
33,1019476.0329377998
34,1021758.0985536521
35,1028921.8033986826
36,1036825.7449614177
37,1041756.9531079546
38,1047689.7391658748
39,1047349.6176536268
40,1047641.1175238333
41,1049743.4050723615
42,1052267.6427161326
43,1055929.820265805
44,1060147.8706479305
45,1060498.8234670234
46,1057626.250839269
47,1048607.9501747384
48,1052218.3211923703
49,1042111.909162991
50,1042990.4305222213
51,1049532.5737850212
52,1056061.8599454274
53,1051562.0773578328
54,1056543.8166088585
55,1053261.433328558
56,1047086.5676146869
57,1034899.2402648708
58,1023742.2138398559
59,1017512.1953459925
60,984748.3087314796
61,999714.9743491539
62,1002021.4133905121
