,0
0,1000000.0
1,999498.0
2,999244.1875
3,996571.375
4,997001.1875
5,995667.1875
6,992936.25
7,993093.875
8,989963.6875
9,989914.875
10,990398.125
11,981446.375
12,987335.4375
13,985576.4375
14,985146.6875
15,986045.625
16,988801.3125
17,995694.1875
18,990167.875
19,986016.0625
20,985472.3125
21,989278.125
22,988495.875
23,991321.375
24,999205.25
25,1000771.625
26,986906.3125
27,992065.625
28,991949.125
29,988444.0625
30,976567.3125
31,976964.0625
32,973099.125
33,971252.5
34,961468.875
35,971117.4375
36,967246.5
37,965829.6875
38,964839.25
39,953854.875
40,952274.75
41,956140.9375
42,944961.75
43,943545.6875
44,937772.8125
45,954464.625
46,957028.8125
47,969487.375
48,973939.25
49,971189.75
50,982120.625
51,988014.125
52,981056.625
53,975193.5
54,1005783.0
55,997271.0
56,1001501.125
57,1008645.25
58,995493.375
59,984704.875
60,994052.625
61,1003171.875
62,1015344.625
63,1019872.875
64,1016026.375
65,1006061.4375
66,1012380.5
67,1029222.625
68,1029402.875
69,1013892.375
70,1022423.5
71,1029255.25
72,1028206.25
73,1009772.125
74,1021552.375
75,1017776.8125
76,1023038.875
77,1026757.1875
78,1023352.125
79,1027115.4375
80,1043335.75
81,1039308.375
82,1039782.375
83,1058263.75
84,1055642.75
85,1064180.875
86,1053621.75
87,1065077.0
88,1052744.875
89,1055629.125
90,1042937.375
91,1048282.0
92,1046133.875
93,1068148.75
94,1063364.625
95,1055829.125
96,1049448.5
97,1045963.375
98,1067845.75
99,1053190.5
100,1066251.0
101,1073615.25
102,1085069.125
103,1081223.625
104,1077967.875
105,1085846.25
106,1085597.875
107,1085730.0
108,1088167.875
109,1084569.5
110,1084507.25
111,1083273.75
112,1070807.875
113,1064864.75
114,1060779.75
115,1065944.875
116,1066544.75
117,1048277.125
118,1051324.0
119,1051674.25
120,1066410.5
121,1067363.0
122,1073758.75
123,1065308.0
124,1067066.75
125,1045689.9375
126,1052515.5
127,1039246.375
128,1040608.375
129,1044346.375
130,1039386.5
131,1057034.75
132,1057736.875
133,1080501.5
134,1092499.375
135,1100562.625
136,1111003.25
137,1119146.25
138,1115655.75
139,1134869.125
140,1136834.75
141,1134925.375
142,1128882.75
143,1125231.125
144,1133348.75
145,1134618.25
146,1147321.25
147,1152273.125
148,1152944.25
149,1148406.125
150,1158358.5
151,1151107.75
152,1140364.375
153,1156577.875
154,1159726.5
155,1151652.75
156,1130658.5
157,1141148.75
158,1146376.5
159,1155387.5
160,1171029.0
161,1167989.125
162,1173387.25
163,1174571.0
164,1174939.375
165,1169633.75
166,1169798.75
167,1143237.125
168,1135629.875
169,1145279.375
170,1156661.5
171,1167373.5
172,1177158.25
173,1190745.5
174,1189628.5
175,1199162.375
176,1201216.5
177,1215128.125
178,1217172.25
179,1218925.125
180,1213341.375
181,1222673.625
182,1211672.625
183,1208050.75
184,1197299.0
