iteration,model_selected,ppo_sharpe,a2c_sharpe,ddpg_sharpe,efficiency_ratio,adaptive_threshold,market_state
1,PPO,0.4280518855420877,-0.08661296042549207,0.2682495074461092,0.34102128348304567,182.0,choppy
2,DDPG,0.10707119847109314,-0.08350266600217392,0.22990808080436329,0.11264309802932129,182.0,choppy
3,A2C,-0.006210566596144086,0.14934267570406032,0.03841212629433596,0.2763028927303434,182.0,choppy
4,PPO,0.4160642211611943,0.3482542677506383,0.35552618147414466,0.46305801321351425,140.0,mixed
5,DDPG,-0.2861318597505678,-0.31745139502662006,-0.29571471632722085,0.0776858614316212,182.0,choppy
6,A2C,0.07157116897424298,0.19440749439516908,0.11248344306114964,0.17518943962148786,182.0,choppy
7,PPO,0.05116857634141101,-0.045999354082745886,-0.06950034977095847,0.39140812892018617,182.0,choppy
8,A2C,0.19531782569532902,0.27774003115207163,0.25361747493087444,0.011712816487107034,182.0,choppy
9,PPO,0.5371292605185237,0.3466455936411618,0.5467505500223775,0.09234729254157102,182.0,choppy
10,DDPG,0.0057907529524070704,-0.09618330351585831,0.2889169312917284,0.3483466494250193,182.0,choppy
11,DDPG,-0.04730433277285499,0.0017029433968041388,0.011911754221089173,0.05783312887856727,182.0,choppy
12,PPO,0.10584671486123658,-0.04851207842827429,-0.3616001541699244,0.7744556557410307,98.0,trending
